timestamp,open,high,low,close,volume,rate_of_return
2022-09-09,0.481,0.504,0.481,0.5,1058451.43,0.04166666666666674
2022-09-10,0.5,0.523,0.495,0.513,551600.66,0.026000000000000023
2022-09-11,0.514,0.52,0.5,0.509,282211.03,-0.007797270955165692
2022-09-12,0.507,0.519,0.493,0.5,747879.98,-0.017681728880157177
2022-09-13,0.499,0.509,0.455,0.466,1155420.51,-0.06799999999999995
2022-09-14,0.467,0.487,0.463,0.48,152559.54,0.030042918454935563
2022-09-15,0.48,0.506,0.463,0.464,520664.57,-0.033333333333333215
2022-09-16,0.467,0.474,0.454,0.474,580758.37,0.021551724137930828
2022-09-17,0.473,0.488,0.473,0.484,232263.53,0.021097046413502074
2022-09-18,0.483,0.49,0.441,0.445,797499.49,-0.08057851239669422
2022-09-19,0.445,0.456,0.433,0.454,330283.59,0.020224719101123556
2022-09-20,0.453,0.453,0.438,0.442,201207.97,-0.026431718061673992
2022-09-21,0.442,0.464,0.427,0.442,370125.52,0.0
2022-09-22,0.441,0.466,0.435,0.459,392156.83,0.03846153846153855
2022-09-23,0.459,0.482,0.447,0.464,939636.86,0.01089324618736387
2022-09-24,0.464,0.468,0.45,0.453,256031.58,-0.0237068965517242
2022-09-25,0.451,0.462,0.439,0.446,325174.59,-0.015452538631346546
2022-09-26,0.448,0.451,0.437,0.447,404195.64,0.0022421524663676085
2022-09-27,0.448,0.463,0.438,0.442,288602.68,-0.011185682326621982
2022-09-28,0.442,0.442,0.425,0.437,315767.71,-0.011312217194570096
2022-09-29,0.437,0.439,0.428,0.437,201047.6,0.0
2022-09-30,0.437,0.441,0.43,0.436,396193.37,-0.0022883295194507935
2022-10-01,0.436,0.436,0.427,0.43,225052.01,-0.013761467889908285
2022-10-02,0.43,0.433,0.418,0.419,152448.51,-0.025581395348837188
2022-10-03,0.417,0.43,0.416,0.429,252827.02,0.023866348448687402
2022-10-04,0.429,0.438,0.425,0.436,396501.56,0.01631701631701632
2022-10-05,0.436,0.436,0.424,0.432,214299.57,-0.00917431192660556
2022-10-06,0.432,0.437,0.426,0.429,82733.86,-0.00694444444444442
2022-10-07,0.429,0.429,0.421,0.425,124694.76,-0.009324009324009341
2022-10-08,0.425,0.427,0.42,0.422,241049.45,-0.007058823529411784
2022-10-09,0.422,0.424,0.42,0.424,44913.21,0.004739336492890933
2022-10-10,0.424,0.427,0.399,0.402,142384.44,-0.05188679245283012
2022-10-11,0.401,0.402,0.383,0.39,256233.07,-0.02985074626865669
2022-10-12,0.392,0.395,0.377,0.381,194849.77,-0.023076923076923106
2022-10-13,0.382,0.382,0.35,0.377,1097902.03,-0.01049868766404205
2022-10-14,0.378,0.389,0.361,0.367,383972.6,-0.02652519893899208
2022-10-15,0.367,0.37,0.362,0.365,121718.37,-0.00544959128065392
2022-10-16,0.364,0.374,0.36,0.37,316583.49,0.013698630136986356
2022-10-17,0.371,0.375,0.367,0.373,129856.82,0.008108108108108025
2022-10-18,0.374,0.374,0.358,0.362,394773.29,-0.029490616621983934
2022-10-19,0.362,0.362,0.347,0.349,262747.03,-0.035911602209944826
2022-10-20,0.35,0.355,0.337,0.339,277880.68,-0.02865329512893966
2022-10-21,0.34,0.351,0.33,0.351,859303.64,0.03539823008849541
2022-10-22,0.35,0.354,0.343,0.354,265713.72,0.008547008547008517
2022-10-23,0.354,0.363,0.346,0.363,345064.64,0.025423728813559254
2022-10-24,0.363,0.365,0.354,0.358,269985.48,-0.01377410468319562
2022-10-25,0.359,0.432,0.357,0.404,3359512.61,0.12849162011173187
2022-10-26,0.402,0.416,0.395,0.403,768459.32,-0.0024752475247524774
2022-10-27,0.404,0.419,0.387,0.388,507408.35,-0.037220843672456594
2022-10-28,0.386,0.411,0.378,0.404,559518.23,0.04123711340206193
2022-10-29,0.403,0.44,0.401,0.416,580221.04,0.029702970297029507
2022-10-30,0.416,0.422,0.399,0.406,370835.81,-0.024038461538461453
2022-10-31,0.407,0.416,0.397,0.405,1765891.31,-0.0024630541871921707
2022-11-01,0.405,0.416,0.399,0.401,1649198.04,-0.00987654320987652
2022-11-02,0.401,0.409,0.381,0.385,1835830.46,-0.03990024937655867
2022-11-03,0.385,0.399,0.385,0.389,209838.89,0.010389610389610393
2022-11-04,0.389,0.426,0.389,0.424,520912.05,0.08997429305912585
2022-11-05,0.421,0.437,0.421,0.428,385120.64,0.009433962264151052
2022-11-06,0.428,0.43,0.402,0.403,281626.66,-0.05841121495327095
2022-11-07,0.403,0.416,0.398,0.404,377740.81,0.002481389578163684
2022-11-08,0.404,0.415,0.347,0.371,1881444.8,-0.08168316831683176
2022-11-09,0.37,0.376,0.304,0.315,3536763.35,-0.15094339622641506
2022-11-10,0.315,0.38,0.314,0.367,2611794.86,0.16507936507936516
2022-11-11,0.368,0.375,0.342,0.356,636295.21,-0.02997275204359673
2022-11-12,0.356,0.356,0.337,0.339,178581.36,-0.047752808988763884
2022-11-13,0.34,0.345,0.326,0.332,191944.96,-0.020648967551622488
2022-11-14,0.332,0.341,0.315,0.331,639279.8,-0.003012048192771122
2022-11-15,0.334,0.344,0.327,0.337,663137.82,0.01812688821752273
